Sample_ID	Rs	NH4	pH	SOC	TN	NO3	Water_content	Temp.	Plot	Date	Location	Ecosystem_type	Lat.	Lon.	Elevation	Samples_per_plot	Cord.	Cond.	v_axis	h_axis
L10_V2	3.55	6.025	6.48	10.254399	0.4284353	31.32	20.5	30.4	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	1092	10	0
L10_V3	2.57	5.375	6.68	8.7450628	0.3939445	21.975	11.2	30.7	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	641	25	0
L10_V4	2.16	4.825	6.48	11.117381	0.3610473	23.975	15.4	31.2	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	833	50	0
L10_V5	2.72	5.225	6.28	11.240118	0.432266	48.032	19.2	33.8	L10	2019.07.19	"Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Mixed forest	28.09033333	98.61533333	1563	11	98.6153333333333E 28.0903333333333N	1023	100	0
L11_H0	0.82	4.5	6.45	5.7571265	0.2815403	10.615	10.1	27.3	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	590	0	0
L11_H1	2.1	5.15	6.48	7.7701723	0.3802358	12.94	18	26.2	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	958	0	5
L11_H2	2.38	3.675	6.27	10.63031	0.5173416	19.93	14.2	26.3	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	776	0	10
L11_H3	1.99	4.475	6.47	6.0398254	0.2915719	10.68	9.7	26.6	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	576	0	25
L11_H4	0.99	5.075	6.38	4.891227	0.2384123	12.69	13	26.4	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	723	0	50
L11_H5	1.05	4.15	6.37	3.7655204	0.2021856	5.99	14.3	26.5	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	780	0	100
L11_V1	1.83	4.075	6.27	7.6758414	0.3758694	14.39	8.6	25.9	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	530	5	0
L11_V2	2.52	3.8	6.15	7.5375136	0.238538	14.15	14.7	26.4	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	798	10	0
L11_V3	2.82	4.125	6.45	7.6924158	0.3484666	6.28	13.1	26.3	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	727	25	0
L11_V4	4.04	6	6.32	6.669737	0.2737477	6.045	15.1	26	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	818	50	0
L11_V5	3.72	4.5	6.13	7.2868736	0.3285177	7.18	18.3	26.4	L11	2019.07.20	"Fugong, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	26.54233333	98.93433333	1090	11	98.9343333333333E 26.5423333333333N	975	100	0
L12_H0	1.15	4.525	6.15	5.5505504	0.2574888	11.285	5.2	32.3	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	388	0	0
L12_H1	1.85	3.475	6.38	5.5014856	0.2228817	6.965	6.3	32	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	435	0	5
L12_H2	1.84	3.95	6.08	5.2664931	0.2465452	10.655	7.3	32.8	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	475	0	10
L12_H3	1.1	3.625	6.14	6.7014919	0.3133573	6.1	6.8	32.8	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	545	0	25
L12_H4	0.67	4.7	6.35	5.9629051	0.3352991	7.69	7.9	32.4	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	588	0	50
L12_H5	2.2	5	6.41	3.1879738	0.1421528	8.515	10.9	32.5	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	629	0	100
L12_V1	1.69	4.775	6.44	4.8205052	0.240039	5.535	10.2	34.7	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	597	5	0
L12_V2	2.28	5.175	6.16	5.8597179	0.3089124	18.825	9.1	32	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	549	10	0
L12_V3	0.76	4.65	6.39	4.8793847	0.1910583	8.24	1.6	32.1	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	251	25	0
L12_V4	1.9	4.875	6.32	4.7680658	0.1853246	11.525	3.3	32.2	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	314	50	0
L12_V5	0.89	4.475	6.49	3.7324461	0.1400803	6.395	11	33.5	L12	2019.07.20	"Luzhang Town, Lushui City, Nujiang Lisu Autonomous Prefecture, Yunnan Province"	Evergreen forest	25.97166667	98.86033333	853	11	98.8603333333333E 25.9716666666667N	447	100	0
